Layer,Name,GEOID,Population,ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
Census tract,Tract 627,17031062700,2982,60657,17031062700,0.027896335,0.090972464,0.039115917,0.032502014
Census tract,Tract 628,17031062800,3460,60614,17031062800,0.002075269,0.000764818,0.006874033,0.002552611
Census tract,Tract 628,17031062800,3460,60657,17031062800,0.037994456,0.04879749,0.052313563,0.040210943
Census tract,Tract 629,17031062900,3818,60614,17031062900,0.002191857,0.00917782,0.003780718,0.002727981
Census tract,Tract 629,17031062900,3818,60657,17031062900,0.043648524,0.025095852,0.06694228,0.045356332
Census tract,Tract 630,17031063000,3456,60614,17031063000,0.002728163,0.008413002,0.00618663,0.003409977
Census tract,Tract 630,17031063000,3456,60657,17031063000,0.045144542,0.087486929,0.0857052,0.052039845
Census tract,Tract 631,17031063100,2238,60657,17031063100,0.033990408,0.036946671,0.057083797,0.036805098
Census tract,Tract 632,17031063200,6745,60657,17031063200,0.114071369,0.033461136,0.047384322,0.102157035
Census tract,Tract 633.01,17031063301,2735,60614,17031063301,0.003894045,0.011089866,0.003093315,0.004169914
Census tract,Tract 633.01,17031063301,2735,60657,17031063301,0.036740441,0.016033461,0.029416441,0.034809199
Census tract,Tract 633.02,17031063302,3967,60614,17031063302,0.007205149,0.004206501,0.002921464,0.006566641
Census tract,Tract 633.02,17031063302,3967,60657,17031063302,0.071500858,0.037643778,0.021784067,0.063996924
Census tract,Tract 633.03,17031063303,1243,60614,17031063303,0.0,0.0,0.000171851,1.9486e-05
Census tract,Tract 633.03,17031063303,1243,60657,17031063303,0.024728297,0.004879749,0.001113055,0.020966088
Census tract,Tract 634,17031063400,2443,60614,17031063400,0.002378399,0.003824092,0.000515553,0.002240842
Census tract,Tract 634,17031063400,2443,60657,17031063400,0.028182338,0.050540258,0.057878836,0.032776679
Census tract,Tract 701.01,17031070101,3885,60614,17031070101,0.071585133,0.029063098,0.020106548,0.06358145
Census tract,Tract 701.02,17031070102,2918,60614,17031070102,0.047987688,0.065391969,0.025262073,0.04629774
Census tract,Tract 701.03,17031070103,1636,60614,17031070103,0.033577391,0.015678776,0.015294724,0.030592362
Census tract,Tract 702,17031070200,4216,60614,17031070200,0.064566525,0.061567878,0.067881079,0.064789556
Census tract,Tract 703,17031070300,3634,60614,17031070300,0.094879448,0.147992352,0.094002406,0.09748636
Census tract,Tract 704,17031070400,3151,60614,17031070400,0.038823859,0.029827916,0.05361746,0.040042868
Census tract,Tract 705,17031070500,3458,60614,17031070500,0.034999767,0.014531549,0.052930057,0.035989867
Census tract,Tract 706,17031070600,3296,60614,17031070600,0.036328872,0.027151052,0.049321189,0.037334373
Census tract,Tract 707,17031070700,4191,60614,17031070700,0.036165648,0.045124283,0.040384946,0.037100546
Census tract,Tract 707,17031070700,4191,60647,17031070700,0.01553063,0.001367521,0.009832134,0.013734044
Census tract,Tract 710,17031071000,4634,60614,17031071000,0.028354241,0.032122371,0.054133013,0.031469213
Census tract,Tract 711,17031071100,3394,60614,17031071100,0.034789908,0.052390057,0.053101908,0.037763055
Census tract,Tract 712,17031071200,1956,60614,17031071200,0.0390104,0.055449331,0.040556797,0.040023383
Census tract,Tract 713,17031071300,4308,60614,17031071300,0.052394721,0.022179732,0.068224781,0.052650039
Census tract,Tract 714,17031071400,5096,60614,17031071400,0.096441729,0.042447419,0.037979034,0.087061574
Census tract,Tract 715,17031071500,6187,60610,17031071500,0.003902499,0.008201893,0.003088008,0.004048583
Census tract,Tract 715,17031071500,6187,60614,17031071500,0.099986009,0.048183556,0.056023372,0.092361652
