Layer,Name,GEOID,Population
Census tract,Tract 2832,17031283200,1622
Census tract,Tract 2838,17031283800,3668
Census tract,Tract 2909,17031290900,3857
Census tract,Tract 2912,17031291200,2124
Census tract,Tract 2916,17031291600,945
Census tract,Tract 2922,17031292200,2506
Census tract,Tract 2924,17031292400,2000
Census tract,Tract 2925,17031292500,3595
Census tract,Tract 3005,17031300500,2916
Census tract,Tract 3006,17031300600,3035
Census tract,Tract 3007,17031300700,4841
Census tract,Tract 3008,17031300800,3960
Census tract,Tract 3009,17031300900,4223
Census tract,Tract 3011,17031301100,2217
Census tract,Tract 3012,17031301200,4417
Census tract,Tract 3016,17031301600,4242
Census tract,Tract 3017.01,17031301701,3785
Census tract,Tract 3017.02,17031301702,4645
Census tract,Tract 3018.01,17031301801,3568
Census tract,Tract 3018.02,17031301802,3421
Census tract,Tract 3018.03,17031301803,4423
Census tract,Tract 3102,17031310200,1765
Census tract,Tract 3103,17031310300,1873
Census tract,Tract 3104,17031310400,1286
Census tract,Tract 3105,17031310500,1491
Census tract,Tract 3106,17031310600,4555
Census tract,Tract 3107,17031310700,1514
Census tract,Tract 3108,17031310800,4421
Census tract,Tract 3109,17031310900,5215
Census tract,Tract 3201,17031320100,13568
Census tract,Tract 3204,17031320400,3150
Census tract,Tract 3206,17031320600,5183
Census tract,Tract 3301,17031330100,20087
Census tract,Tract 3302,17031330200,3599
Census tract,Tract 3403,17031340300,1875
Census tract,Tract 3404,17031340400,1949
Census tract,Tract 3405,17031340500,1591
Census tract,Tract 3406,17031340600,981
Census tract,Tract 3501,17031350100,2432
Census tract,Tract 3504,17031350400,1979
Census tract,Tract 3510,17031351000,3269
Census tract,Tract 3511,17031351100,2418
Census tract,Tract 3514,17031351400,1841
Census tract,Tract 3515,17031351500,731
Census tract,Tract 3602,17031360200,1477
Census tract,Tract 3801,17031380100,1894
Census tract,Tract 3802,17031380200,1556
Census tract,Tract 3805,17031380500,856
Census tract,Tract 3807,17031380700,1330
Census tract,Tract 3812,17031381200,1852
Census tract,Tract 3814,17031381400,1415
Census tract,Tract 3815,17031381500,347
Census tract,Tract 3817,17031381700,0
Census tract,Tract 3818,17031381800,1252
Census tract,Tract 3819,17031381900,1129
Census tract,Tract 3901,17031390100,1626
Census tract,Tract 3902,17031390200,2143
Census tract,Tract 3903,17031390300,2980
Census tract,Tract 3904,17031390400,2582
Census tract,Tract 3905,17031390500,1565
Census tract,Tract 3906,17031390600,1686
Census tract,Tract 3907,17031390700,5372
Census tract,Tract 4003,17031400300,1329
Census tract,Tract 4004,17031400400,2084
Census tract,Tract 4005,17031400500,2102
Census tract,Tract 4008,17031400800,2452
Census tract,Tract 4101,17031410100,2007
Census tract,Tract 4102,17031410200,1475
Census tract,Tract 4105,17031410500,2525
Census tract,Tract 4106,17031410600,2516
Census tract,Tract 4107,17031410700,2186
Census tract,Tract 4108,17031410800,2898
Census tract,Tract 4109,17031410900,3342
Census tract,Tract 4110,17031411000,3509
